구분,자동차용경유
2019년08월05일,1352.72
2019년08월06일,1352.76
2019년08월07일,1352.55
2019년08월08일,1352.47
2019년08월09일,1352.18
2019년08월10일,1351.91
2019년08월11일,1351.71
2019년08월12일,1351.73
2019년08월13일,1351.72
2019년08월14일,1351.61
2019년08월15일,1351.38
2019년08월16일,1351.44
2019년08월17일,1351.30
2019년08월18일,1351.12
2019년08월19일,1351.21
2019년08월20일,1351.19
2019년08월21일,1351.04
2019년08월22일,1351.06
2019년08월23일,1351.31
2019년08월24일,1351.26
2019년08월25일,1351.21
2019년08월26일,1351.63
2019년08월27일,1351.74
2019년08월28일,1352.07
2019년08월29일,1352.37
2019년08월30일,1352.91
2019년08월31일,1354.05
2019년09월01일,1363.44
2019년09월02일,1368.44
2019년09월03일,1371.01
2019년09월04일,1372.43
2019년09월05일,1372.95
2019년09월06일,1373.96
2019년09월07일,1374.07
2019년09월08일,1374.28
2019년09월09일,1374.61
2019년09월10일,1374.85
2019년09월11일,1375.43
2019년09월12일,1375.95
2019년09월13일,1376.19
2019년09월14일,1376.09
2019년09월15일,1376.05
2019년09월16일,1377.00
2019년09월17일,1379.52
2019년09월18일,1381.64
2019년09월19일,1383.17
2019년09월20일,1384.56
2019년09월21일,1385.54
2019년09월22일,1385.86
2019년09월23일,1386.98
2019년09월24일,1387.88
2019년09월25일,1389.24
2019년09월26일,1390.01
2019년09월27일,1390.63
2019년09월28일,1390.80
2019년09월29일,1390.98
2019년09월30일,1391.46
2019년10월01일,1391.75
2019년10월02일,1391.62
2019년10월03일,1391.60
2019년10월04일,1391.37
2019년10월05일,1390.96
2019년10월06일,1390.85
2019년10월07일,1390.76
2019년10월08일,1390.47
2019년10월09일,1390.11
2019년10월10일,1389.90
2019년10월11일,1389.50
2019년10월12일,1389.16
2019년10월13일,1388.97
2019년10월14일,1388.93
2019년10월15일,1388.55
2019년10월16일,1388.21
2019년10월17일,1387.85
2019년10월18일,1387.13
2019년10월19일,1386.66
2019년10월20일,1386.38
2019년10월21일,1386.24
2019년10월22일,1385.76
2019년10월23일,1385.24
2019년10월24일,1384.93
2019년10월25일,1384.57
2019년10월26일,1384.20
2019년10월27일,1383.90
2019년10월28일,1383.83
2019년10월29일,1383.52
2019년10월30일,1383.34
2019년10월31일,1383.13
